StudentId,FName,LName,StSem,StYear,Supervisor
AA1234,Abimbola,Abioye,Fall,2016,AO5671
AA2345,Afia,Achebe,Fall,2016,AO5671
BD5678,Berko,Dogo,Fall,2017,AO5671
BE1256,Bosede,Eesuola,Fall,2017,AS2348
FE6789,Fumnaya,Egebe,Fall,2017,AS2348
IJ1569,Ife,Jelani,Fall,2017,RB1897
FK8907,Folami,Kanye,Fall,2017,RB1897
EN4589,Emeka,Nenge,Fall,2018,RB1897
KO1905,Kojo,Okoro,Fall,2018,SB2561
NZ1278,Nia,Zivai,Fall,2018,SB2561
MS1259,Maya,Smith,Fall,2016,AO5671
AJ1934,Adriana,Johnson,Fall,2016,AO5671
VW8930,Violet,Williams,Fall,2016,AO5671
AJ1836,Alice,Jones,Fall,2016,AS2348
VB1059,Victor,Brown,Fall,2017,AS2348
GM6294,Gabriella,Miller,Fall,2017,RB1897
RW9267,Raymond,Wilson,Fall,2017,AS2348
GD1948,Gabriel,Durand,Fall,2017,RB1897
HA2680,Hector,Adams,Fall,2018,SB2561
SC1894,Steven,Cooper,Fall,2018,SB2561
IS2945,Ivan,Sokolov,Fall,2016,AO5671
MI1589,Mikhail,Ivanov,Fall,2017,AS2348
AP2578,Anastasia,Petrov,Fall,2017,SB2561
BM1745,Ben,Mueller,Fall,2016,RB1897
NS4289,Noah,Schmidt,Fall,2017,AS2348
LF150,Luis,Fischer,Fall,2018,RB1897
AM2950,Armand,Martin,Fall,2016,AO5671
LB2673,Leo,Bernard,Fall,2017,AS2348
JT6936,Jules,Thomas,Fall,2018,RB1897
LM1405,Lucinda,Moreau,Fall,2018,SB2561
VA1938,Vivaan,Ahuja,Fall,2016,AO5671
AB2903,Aditya,Bhatt,Fall,2016,AS2348
MA1968,Muhammad,Ansari,Fall,2016,AS2348
PS1904,Parvinder,Singh,Fall,2017,AS2348
SS1304,Simarjeet,Suri,Fall,2017,AS2348
SP1938,Sai,Paranjape,Fall,2017,AS2348
AY2653,Adarsh,Yadav,Fall,2017,AS2348
SD1946,Shalini,Desai,Fall,2017,RB1897
AD1035,Ashish,Dwivedi,Fall,2017,RB1897
MG1940,Maanas,Gandhi,Fall,2018,BL9856
SJ1947,Salil,Jha,Fall,2018,BL9856
AK1958,Abdul,Kalam,Fall,2018,BL9856
JG8927,Jose,Garcia,Fall,2016,AO5671
AL8345,Alejandro,Lopez,Fall,2016,AO5671
AM8051,Antonio,Martinez,Fall,2016,AS2348
JR1930,Jesus,Rodriguez,Fall,2016,AS2348
JG1036,Juan,Gonzalez,Fall,2016,BL9856
MP3478,Maria,Perez,Fall,2017,AS2348
RS1903,Rosa,Sanchez,Fall,2017,AS2348
PG2469,Patricia,Gomez,Fall,2017,RB1897
JF1092,Josefina,Flores,Fall,2017,BL9856
MA1234,Miguel,Angel,Fall,2018,BL9856
FS6892,Francisco,Sanchez,Fall,2018,AO5671
DB1783,Dakota,Benally,Fall,2016,AO5671
DB6291,Dyani,Begay,Fall,2016,AO5671
KY4892,Kaya,Yazzie,Fall,2016,AS2348
MN2903,Mika,Nyhoff,Fall,2016,AS2348
ML3902,Malia,Locklear,Fall,2017,AS2348
NN1629,Nokomis,Nez,Fall,2017,BL9856
OT8190,Odina,Toledo,Fall,2017,AS2348
PH2091,Pocahontas,Hill,Fall,2018,BL9856
TC1038,Tala,Castillo,Fall,2018,BL9856
CC6716,Chayton,Chavis,Fall,2018,BL9856
ZW1029,Zhang,Wei,Fall,2016,AO5671
XY2938,Xiu,Ying,Fall,2016,AS2348
WW3847,Wang,Wei,Fall,2016,BL9856
LY1049,Li,Ying,Fall,2017,AS2348
RK1489,Ranomi,Kromowidjojo,Fall,2016,BL9856
KH1029,Ki,Hajar,Fall,2016,BL9856
AW1023,Abdurrahman,Wahid,Fall,2017,BL9856
JP9384,Jung,Park,Fall,2016,AO5671
RY1726,Rhee,Yi,Fall,2017,AS2348
KJ1928,Kim,Jee,Fall,2018,AS2348
